date,time,corrected_area,calculated_area
26-02-1992,04:44:00,0.043,0.041407322
27-02-1992,02:36:00,0.042,0.045461524
28-02-1992,03:01:00,0.038,0.034910187
29-02-1992,04:01:00,0.042,0.040618388
03-03-1992,03:15:00,0.043,0.024332695
04-03-1992,02:09:00,0.033,0.018467833
05-03-1992,02:39:00,0.03,0.020799917
06-03-1992,02:11:00,0.028,0.013810096
07-03-1992,02:52:00,0.028,0.021946708
09-03-1992,03:52:00,0.028,0.027432842
10-03-1992,02:25:00,0.027,0.024252786
11-03-1992,02:49:00,0.032,0.031112338
13-03-1992,03:10:00,0.032,0.031168779
14-03-1992,02:11:00,0.033,0.033247652
15-03-1992,02:07:00,0.037,0.03257097
16-03-1992,02:50:00,0.027,0.032032766
17-03-1992,04:11:00,0.033,0.023303352
18-03-1992,02:30:00,0.032,0.024539379
19-03-1992,02:46:00,0.034,0.024405741
20-03-1992,02:34:00,0.03,0.019568544
21-03-1992,02:09:00,0.032,0.015188993
22-03-1992,02:34:00,0.036,0.030783176
23-03-1992,"02:31:00,02:58:00",0.031,0.030072668
25-03-1992,04:39:00,0.032,0.023988414
26-03-1992,02:15:00,0.031,0.030656062
28-03-1992,02:46:00,0.03,0.028196832
29-03-1992,04:11:00,0.026,0.033750044
31-03-1992,02:43:00,0.024,0.033605688
01-04-1992,02:42:00,0.029,0.019128132
02-04-1992,03:00:00,0.028,0.033637409
03-04-1992,02:17:00,0.034,0.023954785
04-04-1992,"04:38:00,03:35:00,05:32:00,06:28:00",0.026,0.025091264
05-04-1992,02:46:00,0.022,0.02527548
06-04-1992,04:22:00,0.019,0.015704092
07-04-1992,03:31:00,0.023,0.019553054
08-04-1992,03:35:00,0.023,0.003397438
09-04-1992,03:22:00,0.025,0.023613995
10-04-1992,02:58:00,0.024,0.014966393
11-04-1992,02:38:00,0.022,0.011096745
12-04-1992,02:22:00,0.026,0.026058983
13-04-1992,02:38:00,0.025,0.016199811
14-04-1992,02:15:00,0.027,0.030408889
15-04-1992,"02:17:00,05:10:00",0.027,0.031559646
16-04-1992,02:35:00,0.034,0.02613551
19-04-1992,03:21:00,0.031,0.026103939
20-04-1992,02:29:00,0.037,0.025969387
22-04-1992,"02:43:00,03:59:00",0.042,0.043835179
23-04-1992,03:58:00,0.036,0.034024352
28-04-1992,02:41:00,0.027,0.02750426
29-04-1992,02:19:00,0.029,0.022431761
01-05-1992,02:09:00,0.021,0.02716659
02-05-1992,02:41:00,0.02,0.011657978
03-05-1992,02:59:00,0.024,0.020972183
06-05-1992,02:18:00,0.025,0.009652605
07-05-1992,02:52:00,0.02,0.021185964
09-05-1992,02:15:00,0.024,0.016349028
10-05-1992,02:45:00,0.025,0.02214031
12-05-1992,04:32:00,0.022,0.013923475
15-05-1992,03:31:00,0.024,0.017658397
16-05-1992,02:39:00,0.023,0.024701184
20-05-1992,02:41:00,0.025,0.030607641
21-05-1992,"04:39:00,02:35:00,07:08:00",0.029,0.020385758
22-05-1992,"05:36:00,02:21:00,03:04:00",0.03,0.026131624
23-05-1992,"01:55:00,02:35:00",0.028,0.017237286
24-05-1992,"02:10:00,03:00:00",0.029,0.023074757
25-05-1992,02:42:00,0.025,0.016552525
26-05-1992,04:39:00,0.026,0.020109023
27-05-1992,03:34:00,0.02,0.012055862
29-05-1992,03:24:00,0.018,0.019016468
30-05-1992,03:01:00,0.018,0.009863189
